sheet_row,aow_id,aow_name,raw_name,variant_weapon_type,skill_family,sequence_variant,hit_kind,hit_order,is_lacking_fp,is_damaging,atk_id,sp_effect_id0,sp_effect_id1,sp_effect_id2,sp_effect_id3,sp_effect_id4,overwrite_attack_element_correct_id,is_disable_both_hands_bonus,is_add_base_atk,is_arrow_attack,physical_attack_attribute,physical_mv,magic_mv,fire_mv,lightning_mv,holy_mv,attack_base_physical,attack_base_magic,attack_base_fire,attack_base_lightning,attack_base_holy,status_mv,weapon_buff_mv,poise_mv,stamina_cost,stamina_cost_mode
63,100,Lion's Claw,Lion's Claw,,Lion's Claw,base,direct,1,0,1,300300820,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,240.0,240.0,240.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,600.0,45.0,weapon_scaled
64,100,Lion's Claw,Lion's Claw (Lacking FP),,Lion's Claw,base,direct,1,1,1,300300821,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,250.0,45.0,weapon_scaled
946,101,Impaling Thrust,Impaling Thrust,,Impaling Thrust,base,direct,1,0,1,300000010,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_secondary,187.0,187.0,187.0,187.0,187.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,600.0,40.0,weapon_scaled
947,101,Impaling Thrust,Impaling Thrust (Lacking FP),,Impaling Thrust,base,direct,1,1,1,300000011,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_secondary,90.0,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,200.0,40.0,weapon_scaled
1852,101,Impaling Thrust,Impaling Thrust,,Impaling Thrust,base,direct,1,0,1,300000010,6903,-1,-1,-1,-1,-1,1,0,0,pierce,187.0,187.0,187.0,187.0,187.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,600.0,39.0,precalculated
1853,101,Impaling Thrust,Impaling Thrust (Lacking FP),,Impaling Thrust,base,direct,1,1,1,300000011,6903,-1,-1,-1,-1,-1,1,0,0,pierce,90.0,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,200.0,39.0,precalculated
958,102,Piercing Fang,Piercing Fang,,Piercing Fang,base,direct,1,0,1,300000050,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_secondary,212.0,212.0,212.0,212.0,212.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,600.0,30.0,weapon_scaled
959,102,Piercing Fang,Piercing Fang (Lacking FP),,Piercing Fang,base,direct,1,1,1,300000051,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_secondary,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,120.0,30.0,weapon_scaled
880,103,Spinning Slash,[Dagger] Spinning Slash #1,Dagger,Spinning Slash,#1,direct,1,0,1,300000220,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,290.0,15.0,weapon_scaled
881,103,Spinning Slash,[Dagger] Spinning Slash #2 [1],Dagger,Spinning Slash,#2 [1],direct,1,0,1,300000221,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,65.0,65.0,65.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,90.0,10.0,weapon_scaled
882,103,Spinning Slash,[Dagger] Spinning Slash #2 [2],Dagger,Spinning Slash,#2 [2],direct,2,0,1,300000222,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,115.0,115.0,115.0,115.0,115.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,290.0,15.0,weapon_scaled
883,103,Spinning Slash,[Dagger] Spinning Slash #1 (Lacking FP),Dagger,Spinning Slash,#1,direct,1,1,1,300000225,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,75.0,15.0,weapon_scaled
884,103,Spinning Slash,[Dagger] Spinning Slash #2 [1] (Lacking FP),Dagger,Spinning Slash,#2 [1],direct,1,1,1,300000226,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,10.0,weapon_scaled
885,103,Spinning Slash,[Dagger] Spinning Slash #2 [2] (Lacking FP),Dagger,Spinning Slash,#2 [2],direct,2,1,1,300000227,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,85.0,85.0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,75.0,15.0,weapon_scaled
886,103,Spinning Slash,[Throwing Blade] Spinning Slash #1,Throwing Blade,Spinning Slash,#1,direct,1,0,1,300000220,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,290.0,15.0,weapon_scaled
887,103,Spinning Slash,[Throwing Blade] Spinning Slash #2 [1],Throwing Blade,Spinning Slash,#2 [1],direct,1,0,1,300000221,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,65.0,65.0,65.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,90.0,10.0,weapon_scaled
888,103,Spinning Slash,[Throwing Blade] Spinning Slash #2 [2],Throwing Blade,Spinning Slash,#2 [2],direct,2,0,1,300000222,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,115.0,115.0,115.0,115.0,115.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,290.0,15.0,weapon_scaled
889,103,Spinning Slash,[Throwing Blade] Spinning Slash #1 (Lacking FP),Throwing Blade,Spinning Slash,#1,direct,1,1,1,300000225,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,75.0,15.0,weapon_scaled
890,103,Spinning Slash,[Throwing Blade] Spinning Slash #2 [1] (Lacking FP),Throwing Blade,Spinning Slash,#2 [1],direct,1,1,1,300000226,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,10.0,weapon_scaled
