aow_id,name,physical_attack_power_add,magic_attack_power_add,fire_attack_power_add,lightning_attack_power_add,holy_attack_power_add,scaling_bleed_buildup_add,scaling_frost_buildup_add,scaling_poison_buildup_add,scaling_scarlet_rot_buildup_add,scaling_sleep_buildup_add,scaling_madness_buildup_add,scaling_death_buildup_add,bleed_uses_status_correction,frost_uses_status_correction,poison_uses_status_correction,scarlet_rot_uses_status_correction,sleep_uses_status_correction,madness_uses_status_correction,death_uses_status_correction
119,Poison Moth Flight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,,,1,,,,
201,Sacred Blade,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
214,Flaming Strike,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
217,Lightning Slash,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
227,Chilling Mist,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,,1,,,,,
228,Poisonous Mist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,,,1,,,,
501,Hoarfrost Stomp,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,
606,Seppuku,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,
4140,Flame Skewer,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
4170,Flame Spear,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
4220,Ghostflame Call,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,
5050,The Poison Flower Blooms Twice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,,,,0,,,
