aow_id,aow_name,weapon_id,weapon_name,affinity,weapon_type_name,weapon_type_keys
121,,31040900,Albinauric Shield,Cold,Medium Shield,ShieldNormal
407,,31040900,Albinauric Shield,Cold,Medium Shield,ShieldNormal
121,,31040400,Albinauric Shield,Fire,Medium Shield,ShieldNormal
407,,31040400,Albinauric Shield,Fire,Medium Shield,ShieldNormal
121,,31040500,Albinauric Shield,Flame Art,Medium Shield,ShieldNormal
407,,31040500,Albinauric Shield,Flame Art,Medium Shield,ShieldNormal
121,,31040100,Albinauric Shield,Heavy,Medium Shield,ShieldNormal
407,,31040100,Albinauric Shield,Heavy,Medium Shield,ShieldNormal
121,,31040200,Albinauric Shield,Keen,Medium Shield,ShieldNormal
407,,31040200,Albinauric Shield,Keen,Medium Shield,ShieldNormal
121,,31040600,Albinauric Shield,Lightning,Medium Shield,ShieldNormal
407,,31040600,Albinauric Shield,Lightning,Medium Shield,ShieldNormal
121,,31040800,Albinauric Shield,Magic,Medium Shield,ShieldNormal
407,,31040800,Albinauric Shield,Magic,Medium Shield,ShieldNormal
121,,31041000,Albinauric Shield,Poison,Medium Shield,ShieldNormal
407,,31041000,Albinauric Shield,Poison,Medium Shield,ShieldNormal
121,,31040300,Albinauric Shield,Quality,Medium Shield,ShieldNormal
407,,31040300,Albinauric Shield,Quality,Medium Shield,ShieldNormal
121,,31040700,Albinauric Shield,Sacred,Medium Shield,ShieldNormal
407,,31040700,Albinauric Shield,Sacred,Medium Shield,ShieldNormal
121,,31040000,Albinauric Shield,Standard,Medium Shield,ShieldNormal
407,,31040000,Albinauric Shield,Standard,Medium Shield,ShieldNormal
121,,5040900,Antspur Rapier,Cold,Thrusting Sword,SwordPierce
407,,5040900,Antspur Rapier,Cold,Thrusting Sword,SwordPierce
121,,5040400,Antspur Rapier,Fire,Thrusting Sword,SwordPierce
407,,5040400,Antspur Rapier,Fire,Thrusting Sword,SwordPierce
121,,5040500,Antspur Rapier,Flame Art,Thrusting Sword,SwordPierce
407,,5040500,Antspur Rapier,Flame Art,Thrusting Sword,SwordPierce
121,,5040100,Antspur Rapier,Heavy,Thrusting Sword,SwordPierce
407,,5040100,Antspur Rapier,Heavy,Thrusting Sword,SwordPierce
121,,5040200,Antspur Rapier,Keen,Thrusting Sword,SwordPierce
407,,5040200,Antspur Rapier,Keen,Thrusting Sword,SwordPierce
121,,5040600,Antspur Rapier,Lightning,Thrusting Sword,SwordPierce
407,,5040600,Antspur Rapier,Lightning,Thrusting Sword,SwordPierce
121,,5040800,Antspur Rapier,Magic,Thrusting Sword,SwordPierce
407,,5040800,Antspur Rapier,Magic,Thrusting Sword,SwordPierce
121,,5041000,Antspur Rapier,Poison,Thrusting Sword,SwordPierce
407,,5041000,Antspur Rapier,Poison,Thrusting Sword,SwordPierce
121,,5040300,Antspur Rapier,Quality,Thrusting Sword,SwordPierce
407,,5040300,Antspur Rapier,Quality,Thrusting Sword,SwordPierce
121,,5040700,Antspur Rapier,Sacred,Thrusting Sword,SwordPierce
407,,5040700,Antspur Rapier,Sacred,Thrusting Sword,SwordPierce
121,,5040000,Antspur Rapier,Standard,Thrusting Sword,SwordPierce
407,,5040000,Antspur Rapier,Standard,Thrusting Sword,SwordPierce
121,,7040900,Bandit's Curved Sword,Cold,Curved Sword,SaberNormal
407,,7040900,Bandit's Curved Sword,Cold,Curved Sword,SaberNormal
121,,7040400,Bandit's Curved Sword,Fire,Curved Sword,SaberNormal
