effect_id,status,reason,reference_count,weapon_ids,weapon_names
415,resolved,,8,24000000|24020000|24040000|24050000|24060000|24070000|24500000|24510000,Beast-Repellent Torch|Ghostflame Torch|Lamenting Visage|Nanaya's Torch|Sentry's Torch|St. Trina's Torch|Steel-Wire Torch|Torch
416,resolved,,1,24070000,Sentry's Torch
460,resolved,,1,24060000,Beast-Repellent Torch
1910,resolved,,1,33090000,Carian Regal Scepter
1911,resolved,,1,33210000,Carian Glintstone Staff
1912,resolved,,1,33170000,Carian Glintblade Staff
1913,resolved,,1,33120000,Digger's Staff
1914,resolved,,2,33040000|33270000,Crystal Staff|Rotten Crystal Staff
1917,resolved,,1,33050000,Gelmir Glintstone Staff
1918,resolved,,1,33260000,Staff of the Guilty
1919,resolved,,1,33180000,Prince of Death's Staff
1920,resolved,,1,33250000,Meteorite Staff
1921,resolved,,1,33280000,Staff of Loss
1922,resolved,,1,34010000,Godslayer's Seal
1923,resolved,,1,34020000,Giant's Seal
1924,resolved,,1,34030000,Gravel Stone Seal
1925,resolved,,1,34040000,Clawmark Seal
1926,resolved,,1,34060000,Golden Order Seal
1927,resolved,,1,34080000,Dragon Communion Seal
1928,resolved,,1,34090000,Frenzied Flame Seal
1933,resolved,,1,33230000,Azur's Glintstone Staff
1934,resolved,,1,33240000,Lusat's Glintstone Staff
1937,resolved,,1,42000000,Lion Greatbow
1938,resolved,,1,41040000,Serpent Bow
1940,resolved,,14,40000000|40010000|40020000|40030000|40050000|40500000|41000000|41010000|41020000|41030000|41040000|41060000|41070000|41510000,Albinauric Bow|Ansbach's Longbow|Black Bow|Bone Bow|Composite Bow|Erdtree Bow|Harp Bow|Horn Bow|Longbow|Misbegotten Shortbow|Pulley Bow|Red Branch Shortbow|Serpent Bow|Shortbow
6400,resolved,,120,11050900|11051000|11051200|11070900|11071000|11071200|13000900|13001000|13001200|13010900|13011000|13011200|13040900|13041000|13041200|14010900|14011000|14011200|16110900|16111000|16111200|16140900|16141000|16141200|16540900|16541000|16541200|20020900|20021000|20021200|21010000|21010100|21010200|21010300|21010400|21010500|21010600|21010700|21010800|21080000|21080100|21080200|21080300|21080400|21080500|21080600|21080700|21080800|22000900|22001000|22001200|22020900|22021000|22021200|22030900|22031000|22031200|22500000|2520000|30190000|30190100|30190200|30190300|30190400|30190500|30190600|30190700|30190800|30190900|30191000|30191200|31010900|31011000|31011200|31020900|31021000|31021200|31170900|31171000|31171200|33260000|64520000|68500000|68500100|68500200|68500300|68500400|68500500|68500600|68500700|68500800|68510000|7080000|7080100|7080200|7080300|7080400|7080500|7080600|7080700|7080800|9000000|9000100|9000200|9000300|9000400|9000500|9000600|9000700|9000800|9010000|9010100|9010200|9010300|9010400|9010500|9010600|9010700|9010800|9500000,Beast Claw|Bloodfiend's Fork|Bloodhound Claws|Chainlink Flail|Claws of Night|Cross-Naginata|Curseblade's Cirque|Flail|Forked Hatchet|Hookclaws|Marred Leather Shield|Marred Wooden Shield|Morning Star|Nagakiba|Nightrider Flail|Raptor Talons|Red Bear's Claw|Scavenger's Curved Sword|Shield of the Guilty|Spiked Caestus|Spiked Club|Spiked Spear|Spiralhorn Shield|Staff of the Guilty|Star Fist|Star-Lined Sword|Sword of Night|Thorned Whip|Uchigatana
6401,resolved,,147,11050000|11050100|11050200|11050300|11050400|11050500|11050600|11050700|11050800|11070000|11070100|11070200|11070300|11070400|11070500|11070600|11070700|11070800|12180900|12181000|12181200|13000000|13000100|13000200|13000300|13000400|13000500|13000600|13000700|13000800|13010000|13010100|13010200|13010300|13010400|13010500|13010600|13010700|13010800|13040000|13040100|13040200|13040300|13040400|13040500|13040600|13040700|13040800|14010000|14010100|14010200|14010300|14010400|14010500|14010600|14010700|14010800|14540000|15020900|15021000|15021200|16110000|16110100|16110200|16110300|16110400|16110500|16110600|16110700|16110800|16130000|16140000|16140100|16140200|16140300|16140400|16140500|16140600|16140700|16140800|16540000|16540100|16540200|16540300|16540400|16540500|16540600|16540700|16540800|18070900|18071000|18071200|19000900|19001000|19001200|19010900|19011000|19011200|20020000|20020100|20020200|20020300|20020400|20020500|20020600|20020700|20020800|3010900|3011000|3011200|3050900|3051000|3051200|31010000|31010100|31010200|31010300|31010400|31010500|31010600|31010700|31010800|31020000|31020100|31020200|31020300|31020400|31020500|31020600|31020700|31020800|31170000|31170100|31170200|31170300|31170400|31170500|31170600|31170700|31170800|66500900|66501000|66501200|9020000|9030000|9040000|9060000,Bloodfiend's Fork|Chainlink Flail|Cross-Naginata|Flail|Flamberge|Forked Greatsword|Forked Hatchet|Forked-Tongue Hatchet|Grave Scythe|Great Katana|Great Omenkiller Cleaver|Great Stars|Hand of Malenia|Inquisitor's Girandole|Marred Leather Shield|Marred Wooden Shield|Meteoric Ore Blade|Moonveil|Morning Star|Nightrider Flail|Rivers of Blood|Scythe|Shield of the Guilty|Spiked Club|Spiked Spear|Thorned Whip|Vulgar Militia Saw
6402,resolved,,85,10050000|12180000|12180100|12180200|12180300|12180400|12180500|12180600|12180700|12180800|15020000|15020100|15020200|15020300|15020400|15020500|15020600|15020700|15020800|16550000|17010000|17520000|18070000|18070100|18070200|18070300|18070400|18070500|18070600|18070700|18070800|19000000|19000100|19000200|19000300|19000400|19000500|19000600|19000700|19000800|19010000|19010100|19010200|19010300|19010400|19010500|19010600|19010700|19010800|19020000|19060000|19500000|3010000|3010100|3010200|3010300|3010400|3010500|3010600|3010700|3010800|3050000|3050100|3050200|3050300|3050400|3050500|3050600|3050700|3050800|3160000|6000000|66500000|66500100|66500200|66500300|66500400|66500500|66500600|66500700|66500800|66510000|66520000|7510000|8030000,Barbed Staff-Spear|Bloodfiend's Sacred Spear|Bloodhound's Fang|Bloody Helice|Dragon-Hunter's Great Katana|Eleonora's Poleblade|Falx|Flamberge|Forked Greatsword|Grave Scythe|Great Katana|Great Omenkiller Cleaver|Great Stars|Halo Scythe|Mohgwyn's Sacred Spear|Obsidian Lamina|Rakshasa's Great Katana|Scythe|Sword of Milos|Vulgar Militia Saw|Winged Scythe
6403,resolved,,27,22000000|22000100|22000200|22000300|22000400|22000500|22000600|22000700|22000800|22020000|22020100|22020200|22020300|22020400|22020500|22020600|22020700|22020800|22030000|22030100|22030200|22030300|22030400|22030500|22030600|22030700|22030800,Bloodhound Claws|Hookclaws|Raptor Talons
6404,resolved,,6,32050900|32051000|32051200|32170900|32171000|32171200,Briar Greatshield|Spiked Palisade Shield
6405,resolved,,19,23100000|32050000|32050100|32050200|32050300|32050400|32050500|32050600|32050700|32050800|32170000|32170100|32170200|32170300|32170400|32170500|32170600|32170700|32170800,Briar Greatshield|Ghiza's Wheel|Spiked Palisade Shield
6406,resolved,,54,1090000|1090100|1090200|1090300|1090400|1090500|1090600|1090700|1090800|1090900|1091000|1091200|1100000|1100100|1100200|1100300|1100400|1100500|1100600|1100700|1100800|1100900|1101000|1101200|1140000|1140100|1140200|1140300|1140400|1140500|1140600|1140700|1140800|1140900|1141000|1141200|21010900|21011000|21011200|21080900|21081000|21081200|68500900|68501000|68501200|7080900|7081000|7081200|9000900|9001000|9001200|9010900|9011000|9011200,Beast Claw|Bloodstained Dagger|Great Knife|Nagakiba|Scavenger's Curved Sword|Spiked Caestus|Star Fist|Uchigatana|Wakizashi
6410,resolved,,4,1040000|20050900|20051000|20051200,Hoslow's Petal Whip|Reduvia
6411,resolved,,9,20050000|20050100|20050200|20050300|20050400|20050500|20050600|20050700|20050800,Hoslow's Petal Whip
6412,resolved,,1,8100000,Morgott's Cursed Sword
6413,resolved,,1,11060000,Varre's Bouquet
6451,resolved,,1,2190000,Sword of St. Trina
6452,resolved,,1,24040000,St. Trina's Torch
6502,resolved,,1,30200000,Coil Shield
6505,resolved,,1,32220000,Ant's Skull Plate
6510,resolved,,1,21520000,Poisoned Hand
6511,resolved,,6,20500000|22010900|22011100|22011200|61540000|9080000,Deadly Poison Perfume Bottle|Serpentbone Blade|Tooth Whip|Venomous Fang
6512,resolved,,9,22010000|22010100|22010200|22010300|22010400|22010500|22010600|22010700|22010800,Venomous Fang
6600,resolved,,7,1080000|2260000|33270000|5040900|5041000|5041100|5041200,Antspur Rapier|Rotten Crystal Staff|Rotten Crystal Sword|Scorpion's Stinger
6601,resolved,,11,16160000|18510000|5040000|5040100|5040200|5040300|5040400|5040500|5040600|5040700|5040800,Antspur Rapier|Poleblade of the Bud|Rotten Crystal Spear
