weapon_id,name,affinity,effect_ids,bleed,frost,poison,sleep,madness,death
33200000,Academy Glintstone Staff,Standard,,0,0,0,0,0,0
3070000,Alabaster Lord's Sword,Standard,,0,0,0,0,0,0
41010000,Albinauric Bow,Standard,1940,0,0,0,0,0,0
31041100,Albinauric Shield,Blood,105000,57,0,0,0,0,0
31040900,Albinauric Shield,Cold,107500,0,66,0,0,0,0
31040400,Albinauric Shield,Fire,,0,0,0,0,0,0
31040500,Albinauric Shield,Flame Art,,0,0,0,0,0,0
31040100,Albinauric Shield,Heavy,,0,0,0,0,0,0
31040200,Albinauric Shield,Keen,,0,0,0,0,0,0
31040600,Albinauric Shield,Lightning,,0,0,0,0,0,0
31040800,Albinauric Shield,Magic,,0,0,0,0,0,0
31041200,Albinauric Shield,Occult,,0,0,0,0,0,0
31041000,Albinauric Shield,Poison,106000,0,0,66,0,0,0
31040300,Albinauric Shield,Quality,,0,0,0,0,0,0
31040700,Albinauric Shield,Sacred,,0,0,0,0,0,0
31040000,Albinauric Shield,Standard,,0,0,0,0,0,0
33190000,Albinauric Staff,Standard,,0,0,0,0,0,0
4500000,Ancient Meteoric Ore Greatsword,Standard,,0,0,0,0,0,0
41510000,Ansbach's Longbow,Standard,1940,0,0,0,0,0,0
32220000,Ant's Skull Plate,Standard,6505|5322200,0,0,90,0,0,0
5041100,Antspur Rapier,Blood,105000|6600,57,0,50,0,0,0
5040900,Antspur Rapier,Cold,6600|107500,0,66,50,0,0,0
5040400,Antspur Rapier,Fire,6601,0,0,55,0,0,0
5040500,Antspur Rapier,Flame Art,6601,0,0,55,0,0,0
5040100,Antspur Rapier,Heavy,6601,0,0,55,0,0,0
5040200,Antspur Rapier,Keen,6601,0,0,55,0,0,0
5040600,Antspur Rapier,Lightning,6601,0,0,55,0,0,0
5040800,Antspur Rapier,Magic,6601,0,0,55,0,0,0
5041200,Antspur Rapier,Occult,6600,0,0,50,0,0,0
5041000,Antspur Rapier,Poison,6600|106000,0,0,116,0,0,0
5040300,Antspur Rapier,Quality,6601,0,0,55,0,0,0
5040700,Antspur Rapier,Sacred,6601,0,0,55,0,0,0
5040000,Antspur Rapier,Standard,6601,0,0,55,0,0,0
12510000,Anvil Hammer,Standard,,0,0,0,0,0,0
43080000,Arbalest,Standard,,0,0,0,0,0,0
33130000,Astrologer's Staff,Standard,,0,0,0,0,0,0
23050000,Axe of Godfrey,Standard,,0,0,0,0,0,0
15040000,Axe of Godrick,Standard,,0,0,0,0,0,0
33230000,Azur's Glintstone Staff,Standard,1933,0,0,0,0,0,0
64501100,Backhand Blade,Blood,105000,57,0,0,0,0,0
64500900,Backhand Blade,Cold,107500,0,66,0,0,0,0
64500400,Backhand Blade,Fire,,0,0,0,0,0,0
64500500,Backhand Blade,Flame Art,,0,0,0,0,0,0
64500100,Backhand Blade,Heavy,,0,0,0,0,0,0
64500200,Backhand Blade,Keen,,0,0,0,0,0,0
64500600,Backhand Blade,Lightning,,0,0,0,0,0,0
64500800,Backhand Blade,Magic,,0,0,0,0,0,0
64501200,Backhand Blade,Occult,,0,0,0,0,0,0
64501000,Backhand Blade,Poison,106000,0,0,66,0,0,0
64500300,Backhand Blade,Quality,,0,0,0,0,0,0
64500700,Backhand Blade,Sacred,,0,0,0,0,0,0
64500000,Backhand Blade,Standard,,0,0,0,0,0,0
7041100,Bandit's Blood Curved Sword,Blood,105000,57,0,0,0,0,0
7040900,Bandit's Cold Curved Sword,Cold,107500,0,66,0,0,0,0
7040000,Bandit's Curved Sword,Standard,,0,0,0,0,0,0
