weapon_name,disable_two_hand_bonus,source
Backhand Blade,1,paired_family
Beast Claw,1,paired_family
Bloodhound Claws,1,paired_family
Caestus,1,paired_family
Chilling Perfume Bottle,1,paired_family
Cipher Pata,1,paired_family
Claws of Night,1,paired_family
Clinging Bone,1,paired_family
Curseblade's Cirque,1,paired_family
Dancing Blade of Ranah,1,paired_unique
Dane's Blood Footwork,1,paired_family
Dane's Cold Footwork,1,paired_family
Dane's Fire Footwork,1,paired_family
Dane's Flame Art Footwork,1,paired_family
Dane's Footwork,1,paired_family
Dane's Heavy Footwork,1,paired_family
Dane's Keen Footwork,1,paired_family
Dane's Lightning Footwork,1,paired_family
Dane's Magic Footwork,1,paired_family
Dane's Occult Footwork,1,paired_family
Dane's Poison Footwork,1,paired_family
Dane's Quality Footwork,1,paired_family
Dane's Sacred Footwork,1,paired_family
Deadly Poison Perfume Bottle,1,paired_family
Death Knight's Twin Axes,1,paired_unique
Dryleaf Arts,1,paired_family
Falx,1,paired_unique
Firespark Perfume Bottle,1,paired_family
Frenzyflame Perfume Bottle,1,paired_family
Golem Fist,1,paired_family
Grafted Dragon,1,paired_family
Greatsword of Radahn (Light),1,paired_unique
Greatsword of Radahn (Lord),1,paired_unique
Hookclaws,1,paired_family
Horned Warrior's Sword,1,paired_unique
Iron Ball,1,paired_family
Katar,1,paired_family
Lightning Perfume Bottle,1,paired_family
Madding Hand,1,paired_family
Ornamental Straight Sword,1,paired_unique
Pata,1,paired_family
Poisoned Hand,1,paired_family
Raptor Talons,1,paired_family
Red Bear's Claw,1,paired_family
Rellana's Twin Blades,1,paired_unique
Smithscript Cirque,1,paired_family
Smithscript Dagger,1,paired_unique
Spiked Caestus,1,paired_family
Star Fist,1,paired_family
Starscourge Greatsword,1,paired_unique
Thiollier's Hidden Needle,1,paired_family
Venomous Fang,1,paired_family
Veteran's Prosthesis,1,paired_family
[NPC] Beast Claw,1,paired_family
[NPC] Claws of Night,1,paired_family
[NPC] Dane's Footwork,1,paired_family
[NPC] Deadly Poison Perfume Bottle,1,paired_family
[NPC] Dryleaf Arts,1,paired_family
[NPC] Madding Hand,1,paired_family
[NPC] Red Bear's Claw,1,paired_family
[NPC] Thiollier's Hidden Neddle,1,paired_family
