weapon_id,name,affinity,weapon_type_name,weapon_type_keys,attack_element_correct_id,str_scaling,str_grade,str_effective,dex_scaling,dex_grade,dex_effective,int_scaling,int_grade,int_effective,fai_scaling,fai_grade,fai_effective,arc_scaling,arc_grade,arc_effective,usable_stats,dead_stats
33200000,Academy Glintstone Staff,Standard,Staff,Staff|Sorcery,20000,0.12,E,0,0.00,-,0,0.91,B,1,0.00,-,0,0.00,-,0,INT,STR|DEX|FAI|ARC
3070000,Alabaster Lord's Sword,Standard,Greatsword,SwordLarge,10000,0.58,D,1,0.20,E,1,0.30,D,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
41010000,Albinauric Bow,Standard,Bow,BowNormal,10000,0.15,E,1,0.35,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
31041100,Albinauric Shield,Blood,Medium Shield,ShieldNormal,10013,0.38,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.30,D,1,STR|ARC,DEX|INT|FAI
31040900,Albinauric Shield,Cold,Medium Shield,ShieldNormal,10000,0.36,D,1,0.00,-,0,0.24,E,1,0.00,-,0,0.00,-,0,STR|INT,DEX|FAI|ARC
31040400,Albinauric Shield,Fire,Medium Shield,ShieldNormal,10005,0.28,D,1,0.12,E,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
31040500,Albinauric Shield,Flame Art,Medium Shield,ShieldNormal,10000,0.14,E,1,0.00,-,0,0.00,-,0,0.24,E,1,0.00,-,0,STR|FAI,DEX|INT|ARC
31040100,Albinauric Shield,Heavy,Medium Shield,ShieldNormal,10000,0.36,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.00,-,0,STR,DEX|INT|FAI|ARC
31040200,Albinauric Shield,Keen,Medium Shield,ShieldNormal,10000,0.08,E,1,0.32,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
31040600,Albinauric Shield,Lightning,Medium Shield,ShieldNormal,10000,0.08,E,1,0.28,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
31040800,Albinauric Shield,Magic,Medium Shield,ShieldNormal,10000,0.16,E,1,0.00,-,0,0.24,E,1,0.00,-,0,0.00,-,0,STR|INT,DEX|FAI|ARC
31041200,Albinauric Shield,Occult,Medium Shield,ShieldNormal,10013,0.38,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.38,D,1,STR|ARC,DEX|INT|FAI
31041000,Albinauric Shield,Poison,Medium Shield,ShieldNormal,10013,0.38,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.30,D,1,STR|ARC,DEX|INT|FAI
31040300,Albinauric Shield,Quality,Medium Shield,ShieldNormal,10000,0.40,D,1,0.40,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
31040700,Albinauric Shield,Sacred,Medium Shield,ShieldNormal,10000,0.18,E,1,0.00,-,0,0.00,-,0,0.24,E,1,0.00,-,0,STR|FAI,DEX|INT|ARC
31040000,Albinauric Shield,Standard,Medium Shield,ShieldNormal,10000,0.40,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.00,-,0,STR,DEX|INT|FAI|ARC
33190000,Albinauric Staff,Standard,Staff,Staff|Sorcery,20030,0.12,E,0,0.00,-,0,0.30,D,1,0.00,-,0,0.70,C,1,INT|ARC,STR|DEX|FAI
4500000,Ancient Meteoric Ore Greatsword,Standard,Colossal Sword,SwordGigantic,10100,0.50,D,1,0.05,E,1,0.00,-,0,0.00,-,0,0.26,D,1,STR|DEX|ARC,INT|FAI
41510000,Ansbach's Longbow,Standard,Bow,BowNormal,10000,0.20,E,1,0.25,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
32220000,Ant's Skull Plate,Standard,Greatshield,ShieldLarge,10000,0.50,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.00,-,0,STR,DEX|INT|FAI|ARC
5041100,Antspur Rapier,Blood,Thrusting Sword,SwordPierce,10013,0.34,D,1,0.47,D,1,0.00,-,0,0.00,-,0,0.30,D,1,STR|DEX|ARC,INT|FAI
5040900,Antspur Rapier,Cold,Thrusting Sword,SwordPierce,10000,0.32,D,1,0.45,D,1,0.43,D,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
5040400,Antspur Rapier,Fire,Thrusting Sword,SwordPierce,10005,0.36,D,1,0.17,E,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
5040500,Antspur Rapier,Flame Art,Thrusting Sword,SwordPierce,10000,0.07,E,1,0.10,E,1,0.00,-,0,0.47,D,1,0.00,-,0,STR|DEX|FAI,INT|ARC
5040100,Antspur Rapier,Heavy,Thrusting Sword,SwordPierce,10000,0.46,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.00,-,0,STR,DEX|INT|FAI|ARC
5040200,Antspur Rapier,Keen,Thrusting Sword,SwordPierce,10000,0.17,E,1,0.44,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
5040600,Antspur Rapier,Lightning,Thrusting Sword,SwordPierce,10000,0.17,E,1,0.36,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
5040800,Antspur Rapier,Magic,Thrusting Sword,SwordPierce,10000,0.10,E,1,0.15,E,1,0.45,D,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
5041200,Antspur Rapier,Occult,Thrusting Sword,SwordPierce,10013,0.14,E,1,0.20,E,1,0.00,-,0,0.00,-,0,0.73,C,1,STR|DEX|ARC,INT|FAI
5041000,Antspur Rapier,Poison,Thrusting Sword,SwordPierce,10013,0.34,D,1,0.47,D,1,0.00,-,0,0.00,-,0,0.30,D,1,STR|DEX|ARC,INT|FAI
5040300,Antspur Rapier,Quality,Thrusting Sword,SwordPierce,10000,0.55,D,1,0.55,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
5040700,Antspur Rapier,Sacred,Thrusting Sword,SwordPierce,10000,0.07,E,1,0.10,E,1,0.00,-,0,0.47,D,1,0.00,-,0,STR|DEX|FAI,INT|ARC
5040000,Antspur Rapier,Standard,Thrusting Sword,SwordPierce,10000,0.36,D,1,0.50,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
