effect_id,status,reason,reference_count,weapon_ids,weapon_names
415,resolved,,8,24000000|24020000|24040000|24050000|24060000|24070000|24500000|24510000,Beast-Repellent Torch|Ghostflame Torch|Lamenting Visage|Nanaya's Torch|Sentry's Torch|St. Trina's Torch|Steel-Wire Torch|Torch
1878,resolved,,1,18520000,Glaive of the Crusade
1879,resolved,,1,2510000,Velvet Sword of St. Trina
1886,resolved,,1,1300000,Stormcaller's Dirk
1910,resolved,,1,1070000,Glintstone Kris
1937,resolved,,1,42000000,Lion Greatbow
1938,resolved,,1,41040000,Serpent Bow
1940,resolved,,16,40000000|40010000|40020000|40030000|40050000|40500000|41000000|41010000|41020000|41030000|41040000|41060000|41070000|41080000|41090000|41510000,Albinauric Bow|Ansbach's Longbow|Black Bow|Bone Bow|Composite Bow|Devonia's Longbow|Erdtree Bow|Harp Bow|Horn Bow|Longbow|Misbegotten Shortbow|Pulley Bow|Red Branch Shortbow|Scadu Sapling|Serpent Bow|Shortbow
2100,resolved,,1,11090000,Monk's Flamemace
6400,resolved,,145,1090000|1090100|1090200|1090300|1090400|1090500|1090600|1090700|1090800|1090900|1091000|1091100|1091200|1091300|1091400|1091500|1091600|1091900|1092000|1092100|1100000|1100100|1100200|1100300|1100400|1100500|1100600|1100700|1100800|1100900|1101000|1101100|1101200|1101300|1101400|1101500|1101600|1101900|1102000|1102100|1140000|1140100|1140200|1140300|1140400|1140500|1140600|1140700|1140800|1140900|1141000|1141100|1141200|1141300|1141400|1141500|1141600|1141900|1142000|1142100|21010000|21010100|21010200|21010300|21010400|21010500|21010600|21010700|21010800|21010900|21011000|21011100|21011200|21011300|21011400|21011500|21011600|21011900|21012000|21012100|21080000|21080100|21080200|21080300|21080400|21080500|21080600|21080700|21080800|21080900|21081000|21081100|21081200|21081300|21081400|21081500|21081600|21081900|21082000|21082100|22030000|22030100|22030200|22030300|22030400|22030500|22030600|22030700|22030800|22030900|22031000|22031100|22031200|22031300|22031400|22031500|22031600|22031900|22032000|22032100|22050000|22500000|30190000|68500000|68500100|68500200|68500300|68500400|68500500|68500600|68500700|68500800|68500900|68501000|68501100|68501200|68501300|68501400|68501500|68501600|68501900|68502000|68502100|68510000|68540000,Beast Claw|Bloodstained Dagger|Claws of Night|Emyr's Great Talons|Goras' Claw|Great Knife|Raptor Talons|Red Bear's Claw|Spiked Caestus|Spiralhorn Shield|Star Fist|Wakizashi
6401,resolved,,164,11050000|11050100|11050200|11050300|11050400|11050500|11050600|11050700|11050800|11050900|11051000|11051100|11051200|11051300|11051400|11051500|11051600|11051900|11052000|11052100|11070000|11070100|11070200|11070300|11070400|11070500|11070600|11070700|11070800|11070900|11071000|11071100|11071200|11071300|11071400|11071500|11071600|11071900|11072000|11072100|13000000|13000100|13000200|13000300|13000400|13000500|13000600|13000700|13000800|13000900|13001000|13001100|13001200|13001300|13001400|13001500|13001600|13001900|13002000|13002100|13010000|13010100|13010200|13010300|13010400|13010500|13010600|13010700|13010800|13010900|13011000|13011100|13011200|13011300|13011400|13011500|13011600|13011900|13012000|13012100|13040000|13040100|13040200|13040300|13040400|13040500|13040600|13040700|13040800|13040900|13041000|13041100|13041200|13041300|13041400|13041500|13041600|13041900|13042000|13042100|14010000|14010100|14010200|14010300|14010400|14010500|14010600|14010700|14010800|14010900|14011000|14011100|14011200|14011300|14011400|14011500|14011600|14011900|14012000|14012100|14540000|16560000|16560100|16560200|16560300|16560400|16560500|16560600|16560700|16560800|16560900|16561000|16561100|16561200|16561300|16561400|16561500|16561600|16561900|16562000|16562100|20020000|20020100|20020200|20020300|20020400|20020500|20020600|20020700|20020800|20020900|20021000|20021100|20021200|20021300|20021400|20021500|20021600|20021900|20022000|20022100|31010000|31020000|31170000,Chainlink Flail|Flail|Forked Hatchet|Forked-Tongue Hatchet|Gaelor's Mancatcher|Marred Leather Shield|Marred Wooden Shield|Morning Star|Nightrider Flail|Shield of the Guilty|Spiked Club|Thorned Whip
6402,resolved,,170,12030000|12180000|12180100|12180200|12180300|12180400|12180500|12180600|12180700|12180800|12180900|12181000|12181100|12181200|12181300|12181400|12181500|12181600|12181900|12182000|12182100|15020000|15020100|15020200|15020300|15020400|15020500|15020600|15020700|15020800|15020900|15021000|15021100|15021200|15021300|15021400|15021500|15021600|15021900|15022000|15022100|17520000|18070000|19000000|19000100|19000200|19000300|19000400|19000500|19000600|19000700|19000800|19000900|19001000|19001100|19001200|19001300|19001400|19001500|19001600|19001900|19002000|19002100|19010000|19010100|19010200|19010300|19010400|19010500|19010600|19010700|19010800|19010900|19011000|19011100|19011200|19011300|19011400|19011500|19011600|19011900|19012000|19012100|19020000|19040000|19050000|19060000|19070000|3010000|3010100|3010200|3010300|3010400|3010500|3010600|3010700|3010800|3010900|3011000|3011100|3011200|3011300|3011400|3011500|3011600|3011900|3012000|3012100|3050000|3050100|3050200|3050300|3050400|3050500|3050600|3050700|3050800|3050900|3051000|3051100|3051200|3051300|3051400|3051500|3051600|3051900|3052000|3052100|66500000|66500100|66500200|66500300|66500400|66500500|66500600|66500700|66500800|66500900|66501000|66501100|66501200|66501300|66501400|66501500|66501600|66501900|66502000|66502100|66510000|66530000|8530000|8530100|8530200|8530300|8530400|8530500|8530600|8530700|8530800|8530900|8531000|8531100|8531200|8531300|8531400|8531500|8531600|8531900|8532000|8532100,Barbed Staff-Spear|Demi-Dragon Cleaver|Dragon-Hunter's Great Katana|Eagle's Edge|Flamberge|Forked Greatsword|Grave Scythe|Great Katana|Great Omenkiller Cleaver|Great Stars|Halo Scythe|Rosus' Harvester|Scarlet Triscythe|Scythe|Underworld Greatmace|Vulgar Militia Saw|War Scythe [Heavy]|Winged Scythe
6404,resolved,,1,23100000,Ghiza's Wheel
6405,resolved,,2,32050000|32170000,Briar Greatshield|Spiked Palisade Shield
