weapon_id,name,affinity,effect_ids,bleed,frost,poison,scarlet_rot,sleep,madness,death,bleed_uses_status_correction,frost_uses_status_correction,poison_uses_status_correction,scarlet_rot_uses_status_correction,sleep_uses_status_correction,madness_uses_status_correction,death_uses_status_correction
33200000,Academy Glintstone Staff,Standard,,0,0,0,0,0,0,0,,,,,,,
31350000,Aegis of Hadea,Standard,,0,0,0,0,0,0,0,,,,,,,
3070000,Alabaster Lord's Sword,Standard,,0,0,0,0,0,0,0,,,,,,,
41010000,Albinauric Bow,Standard,1940,0,0,0,0,0,0,0,,,,,,,
31040000,Albinauric Shield,Standard,,0,0,0,0,0,0,0,,,,,,,
4500000,Ancient Meteoric Ore Greatsword,Standard,,0,0,0,0,0,0,0,,,,,,,
41510000,Ansbach's Longbow,Standard,1940,0,0,0,0,0,0,0,,,,,,,
32220000,Ant's Skull Plate,Standard,6505|5322200,0,0,90,0,0,0,0,,,1,,,,
5040000,Antspur Rapier,Standard,6604,0,0,0,70,0,0,0,,,,1,,,
12510000,Anvil Hammer,Standard,,0,0,0,0,0,0,0,,,,,,,
43080000,Arbalest,Standard,,0,0,0,0,0,0,0,,,,,,,
14090000,Axe of Epiphany,Standard,,0,0,0,0,0,0,0,,,,,,,
14130000,Axe of Fell Prophecy,Standard,108500,0,0,0,0,0,0,0,,,,,,,
23050000,Axe of Godfrey,Standard,50020,0,0,0,0,0,0,0,,,,,,,
15040000,Axe of Godrick,Standard,50040,0,0,0,0,0,0,0,,,,,,,
15090000,Axe of Rust,Standard,,0,0,0,0,0,0,0,,,,,,,
33230000,Azur's Glintstone Staff,Standard,,0,0,0,0,0,0,0,,,,,,,
64501700,Backhand Blade,Aberrant,105013,70,0,0,0,0,0,0,1,,,,,,
64501000,Backhand Blade,Bestial,,0,0,0,0,0,0,0,,,,,,,
64501800,Backhand Blade,Bloodflame,105013,70,0,0,0,0,0,0,1,,,,,,
64501400,Backhand Blade,Death,108013,0,0,0,0,0,0,86,,,,,,,1
64500900,Backhand Blade,Draconic,,0,0,0,0,0,0,0,,,,,,,
64500500,Backhand Blade,Dragonkin,107513,0,86,0,0,0,0,0,,1,,,,,
