weapon_id,name,affinity,weapon_type_name,weapon_type_keys,attack_element_correct_id,str_scaling,str_grade,str_effective,dex_scaling,dex_grade,dex_effective,int_scaling,int_grade,int_effective,fai_scaling,fai_grade,fai_effective,arc_scaling,arc_grade,arc_effective,usable_stats,dead_stats
33200000,Academy Glintstone Staff,Standard,Staff,Staff,0,0.00,-,0,0.00,-,0,0.80,C,1,0.00,-,0,0.00,-,0,INT,STR|DEX|FAI|ARC
31350000,Aegis of Hadea,Standard,Medium Shield,ShieldNormal,0,0.00,-,0,0.00,-,0,0.00,-,0,1.00,B,1,0.00,-,0,FAI,STR|DEX|INT|ARC
3070000,Alabaster Lord's Sword,Standard,Greatsword,SwordLarge,0,0.25,D,1,0.10,E,1,1.20,B,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
41010000,Albinauric Bow,Standard,Bow,BowNormal,0,0.25,D,1,0.25,D,1,0.85,C,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
31040000,Albinauric Shield,Standard,Medium Shield,ShieldNormal,0,0.40,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.00,-,0,STR,DEX|INT|FAI|ARC
4500000,Ancient Meteoric Ore Greatsword,Standard,Colossal Sword,SwordGigantic,0,1.00,B,1,0.15,E,1,1.00,B,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
41510000,Ansbach's Longbow,Standard,Bow,BowNormal,0,0.25,D,1,0.25,D,1,0.00,-,0,0.70,C,1,0.70,C,1,STR|DEX|FAI|ARC,INT
32220000,Ant's Skull Plate,Standard,Greatshield,ShieldLarge,0,0.50,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.00,-,0,STR,DEX|INT|FAI|ARC
5040000,Antspur Rapier,Standard,Thrusting Sword,SwordPierce,0,0.10,E,1,0.55,D,1,0.00,-,0,0.70,C,1,0.70,C,1,STR|DEX|FAI|ARC,INT
12510000,Anvil Hammer,Standard,Colossal Weapon,AxhammerLarge,0,1.00,B,1,0.10,E,1,0.70,C,1,0.70,C,1,0.00,-,0,STR|DEX|INT|FAI,ARC
43080000,Arbalest,Standard,Crossbow,ClossBow,0,0.85,C,1,0.85,C,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
14090000,Axe of Epiphany,Standard,Axe,AxeNormal,0,0.60,C,1,0.15,E,1,0.00,-,0,1.10,B,1,0.00,-,0,STR|DEX|FAI,INT|ARC
14130000,Axe of Fell Prophecy,Standard,Axe,AxeNormal,0,0.60,C,1,0.30,D,1,0.00,-,0,1.10,B,1,0.00,-,0,STR|DEX|FAI,INT|ARC
23050000,Axe of Godfrey,Standard,Colossal Weapon,AxhammerLarge,0,1.15,B,1,0.60,C,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
15040000,Axe of Godrick,Standard,Greataxe,AxeLarge,0,0.85,C,1,0.30,D,1,0.70,C,1,0.70,C,1,0.00,-,0,STR|DEX|INT|FAI,ARC
15090000,Axe of Rust,Standard,Greataxe,AxeLarge,0,1.40,A,1,0.10,E,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
33230000,Azur's Glintstone Staff,Standard,Staff,Staff,0,0.00,-,0,0.00,-,0,1.00,B,1,0.00,-,0,0.00,-,0,INT,STR|DEX|FAI|ARC
