weapon_id,name,affinity,weapon_type_id,weapon_type_name,weapon_type_keys,stamina_consumption_rate,physical_attribute_primary,physical_attribute_secondary,base_physical,base_magic,base_fire,base_lightning,base_holy,str_scaling,dex_scaling,int_scaling,fai_scaling,arc_scaling,req_str,req_dex,req_int,req_fai,req_arc,reinforce_type,attack_element_correct_id,curve_id_physical,curve_id_magic,curve_id_fire,curve_id_lightning,curve_id_holy,curve_id_poison,curve_id_blood,curve_id_sleep,curve_id_madness,native_skill_id,native_skill_name,disable_gem_attr,disable_two_hand_bonus,is_somber
1000000,Dagger,Standard,1,Dagger,Dagger,1,slash,pierce,85,0,0,0,0,0.35,0.65,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,6,6,6,6,800,Quickstep,0,0,0
1000100,Dagger,Heavy,1,Dagger,Dagger,1,slash,pierce,85,0,0,0,0,0.65,0.5,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,6,6,6,6,800,Quickstep,0,0,0
1000200,Dagger,Keen,1,Dagger,Dagger,1,slash,pierce,85,0,0,0,0,0.1,1.15,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,6,6,6,6,800,Quickstep,0,0,0
1000300,Dagger,Quality,1,Dagger,Dagger,1,slash,pierce,85,0,0,0,0,0.45,0.7,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,6,6,6,6,800,Quickstep,0,0,0
1000400,Dagger,Glint,1,Dagger,Dagger,1,slash,pierce,0,85,0,0,0,0.1,0.4,0.95,0,0,5,9,0,0,0,0,0,0,0,0,0,0,6,6,6,6,800,Quickstep,0,0,0
1000500,Dagger,Dragonkin,1,Dagger,Dagger,1,slash,pierce,0,0,0,85,0,0.1,0.4,0.85,0,0,5,9,0,0,0,0,0,0,0,0,0,0,6,6,6,6,800,Quickstep,0,0,0
1000600,Dagger,Gravity,1,Dagger,Dagger,1,slash,pierce,85,0,0,0,0,0.1,0.4,0.95,0,0,5,9,0,0,0,0,0,0,0,0,0,0,6,6,6,6,800,Quickstep,0,0,0
1000700,Dagger,Flame,1,Dagger,Dagger,1,slash,pierce,0,0,85,0,0,0.1,0.4,0,0.85,0,5,9,0,0,0,0,0,0,0,0,0,0,6,6,6,6,800,Quickstep,0,0,0
1000800,Dagger,Golden,1,Dagger,Dagger,1,slash,pierce,0,0,0,0,74,0.1,0.4,0,0.95,0,5,9,0,0,0,0,0,0,0,0,0,0,6,6,6,6,800,Quickstep,0,0,0
1000900,Dagger,Draconic,1,Dagger,Dagger,1,slash,pierce,0,0,0,85,0,0.1,0.4,0,0.95,0,5,9,0,0,0,0,0,0,0,0,0,0,6,6,6,6,800,Quickstep,0,0,0
